Campaign,StartDate,EndDate,Salon,Đã sử dụng,,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,483 TN,4,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,50BT4 NPC LD,9,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,55A NVL,6,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,575 AC,72,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,62 LH,4,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,65 CD,2,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,708 LTT,1,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,76 PVH,5,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,80 PL BD,4,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,90 NH,4,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,927 HG,89,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,99 TSN,16,Clearstock,,,,,,,,,,,,,,
(5035) Laborie - Mua Combo Dầu Xả + Dầu Gội bất kì tặng Serum phục hồi cấu trúc tóc 30ml,2026-03-04,2026-03-31,29 HB,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5035) Laborie - Mua Combo Dầu Xả + Dầu Gội bất kì tặng Serum phục hồi cấu trúc tóc 30ml,2026-03-04,2026-03-31,39 HBT,4,CTKM Tháng 3,,,,,,,,,,,,,,
(5035) Laborie - Mua Combo Dầu Xả + Dầu Gội bất kì tặng Serum phục hồi cấu trúc tóc 30ml,2026-03-04,2026-03-31,401/1 NDT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,10 TP,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,103 TN,9,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,109 TQH,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,1146 KVC,2,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,1180 QT,4,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,145 THT,16,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,168 NVC,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,186 QT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,202 DC,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,25 TD,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,255 NAN,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,264 LLQ,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,29 HB,6,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,32 NAT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,341 XVNT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,346 KT,2,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,363 LNQ TN,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,382 NT,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,39 HBT,4,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,401/1 NDT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,420 HTP,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,50BT4 NPC LD,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,575 AC,13,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,62 LH,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,76 PVH,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5036) Laborie - Combo Dầu gội Laborie bất kỳ + Dầu xả giá 421K,2026-03-04,2026-04-30,927 HG,3,CTKM Tháng 3,,,,,,,,,,,,,,
"(5037) Mua Máy sấy bất kì tặng Tinh dầu dưỡng tóc Arren, Tinh dầu ATS",2026-03-04,2026-03-31,10 TP,1,CTKM Tháng 3,,,,,,,,,,,,,,
